Individuo,Objetivo 1,Objetivo 2,Objetivo 3,Usuario,Movie ID,Movie Title,Predicted Rating,Movie Profit,User-Movie Profit
0,78.77368905560651,3.9554612937433724,90.18461185643969,1,811,Thirty-Two Short Films About Glenn Gould (1993),5,10.0,10.0
0,78.77368905560651,3.9554612937433724,90.18461185643969,1,855,Diva (1981),3.9458973488000755,8.90909090909091,7.030871639680135
0,78.77368905560651,3.9554612937433724,90.18461185643969,1,337,"House of Yes, The (1997)",3.623134328358209,6.0,4.347761194029851
0,78.77368905560651,3.9554612937433724,90.18461185643969,1,426,"Transformers: The Movie, The (1986)",3.20061850809779,6.90625,4.4208543143100725
0,78.77368905560651,3.9554612937433724,90.18461185643969,1,665,Alien 3 (1992),2.9416221512646574,6.13,3.6064287574504696
0,78.77368905560651,3.9554612937433724,90.18461185643969,1,1007,Waiting for Guffman (1996),4.749984660996799,10.0,9.499969321993598
0,78.77368905560651,3.9554612937433724,90.18461185643969,1,601,For Whom the Bell Tolls (1943),4.478635149376272,10.0,8.957270298752544
0,78.77368905560651,3.9554612937433724,90.18461185643969,1,917,Mercury Rising (1998),4.478635149376272,8.714285714285714,7.8056212603415025
0,78.77368905560651,3.9554612937433724,90.18461185643969,1,297,Ulee's Gold (1997),4.403691638371932,10.0,8.807383276743863
0,78.77368905560651,3.9554612937433724,90.18461185643969,1,1025,Fire Down Below (1997),0.7898009950248754,6.113636363636364,0.9657112166440524
4,86.16125042193158,11.166489925768824,45.56816878798293,95,166,Manon of the Spring (Manon des sources) (1986),5,10.0,10.0
4,86.16125042193158,11.166489925768824,45.56816878798293,95,1007,Waiting for Guffman (1996),4.817290852836502,10.0,9.634581705673003
4,86.16125042193158,11.166489925768824,45.56816878798293,95,608,Spellbound (1945),4.26242747737294,10.0,8.52485495474588
4,86.16125042193158,11.166489925768824,45.56816878798293,95,1149,Walkabout (1971),3.584545977810523,10.0,7.169091955621046
4,86.16125042193158,11.166489925768824,45.56816878798293,95,701,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",3.4274702686830127,10.0,6.8549405373660255
4,86.16125042193158,11.166489925768824,45.56816878798293,95,113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",3.41726618705036,10.0,6.83453237410072
4,86.16125042193158,11.166489925768824,45.56816878798293,95,617,"Blue Angel, The (Blaue Engel, Der) (1930)",3.41726618705036,10.0,6.83453237410072
4,86.16125042193158,11.166489925768824,45.56816878798293,95,245,"Devil's Own, The (1997)",3.2224028638288322,7.8625,5.067228503370838
4,86.16125042193158,11.166489925768824,45.56816878798293,95,832,Bogus (1996),3.41726618705036,6.318181818181818,4.318181818181818
4,86.16125042193158,11.166489925768824,45.56816878798293,95,1138,Best Men (1997),New comer,New comer,New comer
8,77.44860858037913,21.961823966065747,63.777908824349126,189,835,"Gay Divorcee, The (1934)",5,10.0,10.0
8,77.44860858037913,21.961823966065747,63.777908824349126,189,1451,Foreign Correspondent (1940),5,10.0,10.0
8,77.44860858037913,21.961823966065747,63.777908824349126,189,1149,Walkabout (1971),4.99594660436608,10.0,9.99189320873216
8,77.44860858037913,21.961823966065747,63.777908824349126,189,1007,Waiting for Guffman (1996),4.837816236711489,10.0,9.675632473422977
8,77.44860858037913,21.961823966065747,63.777908824349126,189,1138,Best Men (1997),New comer,New comer,New comer
8,77.44860858037913,21.961823966065747,63.777908824349126,189,1169,Fresh (1994),4.3050901378579,10.0,8.6101802757158
8,77.44860858037913,21.961823966065747,63.777908824349126,189,1104,C'est arrivï¿½ prï¿½s de chez vous (1992),New comer,New comer,New comer
8,77.44860858037913,21.961823966065747,63.777908824349126,189,494,His Girl Friday (1940),4.254481119564882,10.0,8.508962239129763
8,77.44860858037913,21.961823966065747,63.777908824349126,189,560,"Kid in King Arthur's Court, A (1995)",2.6395511921458623,7.136363636363636,3.7673594287900034
8,77.44860858037913,21.961823966065747,63.777908824349126,189,608,Spellbound (1945),4.136748783679059,10.0,8.273497567358119
12,27.58181021531333,79.46977730646871,85.56685832227639,283,1458,"Damsel in Distress, A (1937)",New comer,New comer,New comer
12,27.58181021531333,79.46977730646871,85.56685832227639,283,1138,Best Men (1997),New comer,New comer,New comer
12,27.58181021531333,79.46977730646871,85.56685832227639,283,1155,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",New comer,New comer,New comer
12,27.58181021531333,79.46977730646871,85.56685832227639,283,1259,Pie in the Sky (1995),New comer,New comer,New comer
12,27.58181021531333,79.46977730646871,85.56685832227639,283,1377,Hotel de Love (1996),New comer,New comer,New comer
12,27.58181021531333,79.46977730646871,85.56685832227639,283,1385,Roseanna's Grave (For Roseanna) (1997),New comer,New comer,New comer
12,27.58181021531333,79.46977730646871,85.56685832227639,283,1424,I Like It Like That (1994),New comer,New comer,New comer
12,27.58181021531333,79.46977730646871,85.56685832227639,283,385,True Lies (1994),3.831783114502461,8.701923076923077,6.66877638197063
12,27.58181021531333,79.46977730646871,85.56685832227639,283,1484,"Jerky Boys, The (1994)",New comer,New comer,New comer
12,27.58181021531333,79.46977730646871,85.56685832227639,283,1502,Naked in New York (1994),New comer,New comer,New comer
16,72.17660270663913,5.312831389183457,100.0,377,17,From Dusk Till Dawn (1996),2.3242694805194812,7.16304347826087,3.32976866883117
16,72.17660270663913,5.312831389183457,100.0,377,184,Army of Darkness (1993),4.693103776218987,8.370689655172413,7.856903046049371
16,72.17660270663913,5.312831389183457,100.0,377,201,Evil Dead II (1987),4.693103776218987,8.179775280898877,7.677706851881848
16,72.17660270663913,5.312831389183457,100.0,377,4,Get Shorty (1995),4.075757575757576,8.708133971291867,7.098448600840946
16,72.17660270663913,5.312831389183457,100.0,377,21,Muppet Treasure Island (1996),4.324269480519481,6.7857142857142865,5.868651437847868
16,72.17660270663913,5.312831389183457,100.0,377,74,Faster Pussycat! Kill! Kill! (1965),3.909090909090909,6.142857142857142,4.802597402597402
16,72.17660270663913,5.312831389183457,100.0,377,385,True Lies (1994),4.324269480519481,8.701923076923077,7.525892076673328
16,72.17660270663913,5.312831389183457,100.0,377,855,Diva (1981),3.909090909090909,8.90909090909091,6.965289256198348
16,72.17660270663913,5.312831389183457,100.0,377,1138,Best Men (1997),New comer,New comer,New comer
16,72.17660270663913,5.312831389183457,100.0,377,170,Cinema Paradiso (1988),5,9.553719008264464,9.553719008264464
20,23.195925463938817,88.56839872746554,75.84484086032035,471,247,Turbo: A Power Rangers Movie (1997),New comer,New comer,New comer
20,23.195925463938817,88.56839872746554,75.84484086032035,471,1293,Star Kid (1997),New comer,New comer,New comer
20,23.195925463938817,88.56839872746554,75.84484086032035,471,1608,Buddy (1997),New comer,New comer,New comer
20,23.195925463938817,88.56839872746554,75.84484086032035,471,1555,"Secret Adventures of Tom Thumb, The (1993)",New comer,New comer,New comer
20,23.195925463938817,88.56839872746554,75.84484086032035,471,1470,Gumby: The Movie (1995),New comer,New comer,New comer
20,23.195925463938817,88.56839872746554,75.84484086032035,471,314,3 Ninjas: High Noon At Mega Mountain (1998),New comer,New comer,New comer
20,23.195925463938817,88.56839872746554,75.84484086032035,471,626,So Dear to My Heart (1949),New comer,New comer,New comer
20,23.195925463938817,88.56839872746554,75.84484086032035,471,1138,Best Men (1997),New comer,New comer,New comer
20,23.195925463938817,88.56839872746554,75.84484086032035,471,1292,"Simple Wish, A (1997)",New comer,New comer,New comer
20,23.195925463938817,88.56839872746554,75.84484086032035,471,1424,I Like It Like That (1994),New comer,New comer,New comer
24,57.410670319978664,29.756097560975608,98.02447294707375,565,631,"Crying Game, The (1992)",5,8.638655462184873,8.638655462184873
24,57.410670319978664,29.756097560975608,98.02447294707375,565,172,"Empire Strikes Back, The (1980)",5,9.583106267029972,9.583106267029972
24,57.410670319978664,29.756097560975608,98.02447294707375,565,517,Manhattan (1979),4.149351912664259,8.714285714285714,7.231727619214851
24,57.410670319978664,29.756097560975608,98.02447294707375,565,692,"American President, The (1995)",4.3709377733470545,9.121951219512196,7.974296230399017
24,57.410670319978664,29.756097560975608,98.02447294707375,565,731,"Corrina, Corrina (1994)",3.6847113136491143,8.384615384615383,6.178977433657745
24,57.410670319978664,29.756097560975608,98.02447294707375,565,775,Something to Talk About (1995),4.672557349192864,6.538461538461538,6.110267302790668
24,57.410670319978664,29.756097560975608,98.02447294707375,565,1424,I Like It Like That (1994),New comer,New comer,New comer
24,57.410670319978664,29.756097560975608,98.02447294707375,565,1138,Best Men (1997),New comer,New comer,New comer
24,57.410670319978664,29.756097560975608,98.02447294707375,565,1485,"Colonel Chabert, Le (1994)",New comer,New comer,New comer
24,57.410670319978664,29.756097560975608,98.02447294707375,565,1026,"Lay of the Land, The (1997)",New comer,New comer,New comer
